gene_id	gene_symbol
ENSG00000000003.14	TSPAN6
ENSG00000000005.5	TNMD
ENSG00000000419.12	DPM1
ENSG00000000457.13	SCYL3
ENSG00000000460.16	C1orf112
ENSG00000000938.12	FGR
ENSG00000000971.15	CFH
ENSG00000001036.13	FUCA2
ENSG00000001084.10	GCLC
ENSG00000001167.14	NFYA
ENSG00000001460.17	STPG1
ENSG00000001461.16	NIPAL3
ENSG00000001497.16	LAS1L
ENSG00000001561.6	ENPP4
ENSG00000001617.11	SEMA3F
ENSG00000001626.14	CFTR
ENSG00000001629.9	ANKIB1
ENSG00000001630.15	CYP51A1
ENSG00000001631.15	KRIT1
ENSG00000002016.17	RAD52
ENSG00000002079.14	MYH16
ENSG00000002330.13	BAD
ENSG00000002549.12	LAP3
ENSG00000002586.18	CD99
ENSG00000002586.18	CD99
ENSG00000002587.9	HS3ST1
ENSG00000002726.20	AOC1
ENSG00000002745.12	WNT16
ENSG00000002746.14	HECW1
ENSG00000002822.15	MAD1L1
ENSG00000002834.17	LASP1
ENSG00000002919.14	SNX11
ENSG00000002933.7	TMEM176A
ENSG00000003056.7	M6PR
ENSG00000003096.14	KLHL13
ENSG00000003137.8	CYP26B1
ENSG00000003147.17	ICA1
ENSG00000003249.13	DBNDD1
ENSG00000003393.14	ALS2
ENSG00000003400.14	CASP10
ENSG00000003402.19	CFLAR
ENSG00000003436.15	TFPI
ENSG00000003509.15	NDUFAF7
ENSG00000003756.16	RBM5
ENSG00000003987.13	MTMR7
ENSG00000003989.17	SLC7A2
ENSG00000004059.10	ARF5
ENSG00000004139.13	SARM1
ENSG00000004142.11	POLDIP2
ENSG00000004399.12	PLXND1
ENSG00000004455.16	AK2
ENSG00000004468.12	CD38
ENSG00000004478.7	FKBP4
ENSG00000004487.15	KDM1A
ENSG00000004534.14	RBM6
ENSG00000004660.14	CAMKK1
ENSG00000004700.15	RECQL
ENSG00000004766.15	VPS50
ENSG00000004776.12	HSPB6
ENSG00000004777.18	ARHGAP33
ENSG00000004779.9	NDUFAB1
ENSG00000004799.7	PDK4
ENSG00000004809.13	SLC22A16
ENSG00000004838.13	ZMYND10
ENSG00000004846.16	ABCB5
ENSG00000004848.7	ARX
ENSG00000004864.13	SLC25A13
ENSG00000004866.20	ST7
ENSG00000004897.11	CDC27
ENSG00000004939.13	SLC4A1
ENSG00000004948.13	CALCR
ENSG00000004961.14	HCCS
ENSG00000004975.11	DVL2
ENSG00000005001.9	PRSS22
ENSG00000005007.12	UPF1
ENSG00000005020.12	SKAP2
ENSG00000005022.5	SLC25A5
ENSG00000005059.15	MCUB
ENSG00000005073.5	HOXA11
ENSG00000005075.15	POLR2J
ENSG00000005100.12	DHX33
ENSG00000005102.12	MEOX1
ENSG00000005108.15	THSD7A
ENSG00000005156.11	LIG3
ENSG00000005175.9	RPAP3
ENSG00000005187.11	ACSM3
ENSG00000005189.19	REXO5
ENSG00000005194.14	CIAPIN1
ENSG00000005206.16	SPPL2B
ENSG00000005238.19	FAM214B
ENSG00000005243.9	COPZ2
ENSG00000005249.12	PRKAR2B
ENSG00000005302.17	MSL3
ENSG00000005339.14	CREBBP
ENSG00000005379.15	TSPOAP1
ENSG00000005381.7	MPO
ENSG00000005421.8	PON1
ENSG00000005436.13	GCFC2
ENSG00000005448.16	WDR54
ENSG00000005469.11	CROT
ENSG00000005471.15	ABCB4
ENSG00000005483.20	KMT2E
ENSG00000005486.16	RHBDD2
ENSG00000005513.9	SOX8
ENSG00000005700.14	IBTK
ENSG00000005801.16	ZNF195
ENSG00000005810.17	MYCBP2
ENSG00000005812.10	FBXL3
ENSG00000005844.17	ITGAL
ENSG00000005882.11	PDK2
ENSG00000005884.17	ITGA3
ENSG00000005889.15	ZFX
ENSG00000005893.15	LAMP2
ENSG00000005961.17	ITGA2B
ENSG00000005981.12	ASB4
ENSG00000006007.11	GDE1
ENSG00000006015.17	C19orf60
ENSG00000006016.10	CRLF1
ENSG00000006025.11	OSBPL7
ENSG00000006042.11	TMEM98
ENSG00000006047.12	YBX2
ENSG00000006059.3	KRT33A
ENSG00000006062.14	MAP3K14
ENSG00000006071.12	ABCC8
ENSG00000006116.3	CACNG3
ENSG00000006118.14	TMEM132A
ENSG00000006125.17	AP2B1
ENSG00000006128.11	TAC1
ENSG00000006194.9	ZNF263
ENSG00000006210.6	CX3CL1
ENSG00000006282.20	SPATA20
ENSG00000006283.17	CACNA1G
ENSG00000006327.13	TNFRSF12A
ENSG00000006377.10	DLX6
ENSG00000006432.15	MAP3K9
ENSG00000006451.7	RALA
ENSG00000006453.13	BAIAP2L1
ENSG00000006459.10	KDM7A
ENSG00000006468.13	ETV1
ENSG00000006530.15	AGK
ENSG00000006534.15	ALDH3B1
ENSG00000006555.10	TTC22
ENSG00000006576.16	PHTF2
ENSG00000006606.8	CCL26
ENSG00000006607.13	FARP2
ENSG00000006611.15	USH1C
ENSG00000006625.17	GGCT
ENSG00000006634.7	DBF4
