Hugo_Symbol	3'Flank	5'Flank	Frame_Shift_Del	Fusion	Missense_Mutation	Multi_Hit_Fusion	Nonsense_Mutation	Splice_Site	3'UTR	Silent	total	Amp	CNV_total	MutatedSamples	AlteredSamples
BRAF	0	0	0	3	1	1	0	0	0	0	5	0	0	5	5
KRAS	0	0	0	0	3	0	0	0	0	0	3	0	0	3	3
FGFR1	0	0	0	1	2	0	0	0	0	0	3	0	0	2	2
TP53	1	0	0	1	0	0	0	1	0	0	3	0	0	2	2
CTNNB1	0	1	0	0	1	0	0	0	0	0	2	0	0	2	2
TACC1	0	0	0	1	0	0	0	0	1	0	2	0	0	2	2
TERT	0	1	0	0	0	0	0	0	0	1	2	0	0	2	2
AKT3	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1
ARHGAP26	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1
ARID1A	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1
ARL4D	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1
CDC27	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1
CDKN2A	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1
CLDN1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1
ERBB4	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1
EWSR1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1
IDH2	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1
MYB	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1
NF2	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1
SETD2	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1
MYBL1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1
